id	filename	md5	size
146b644b-8e47-4e18-a30c-66e3ddd4e086	TARGET-OS_clinicalData_PUBLIC_20220211.tar.gz	c8d9422a25b72e24bcf1b8388879db70	116189
e939186e-5290-46d1-9caf-1c133770cba4	TARGET-OS_copyNumberArray_Level3Data_PUBLIC_20220211.tar.gz	04368efdd2c4a68231cd8d57103a1272	1404757
2a051cf8-5017-4dd4-829d-ce23a6fd5243	TARGET-OS_copyNumberArray_Level4Data_PUBLIC_20220211.tar.gz	add9ce5e845018ecc73edcbd8fce78be	3160909
6602a37a-b02e-45ab-8070-e3b19d8f99d5	TARGET-OS_copyNumberArray_Metadata_PUBLIC_20220211.tar.gz	e4a3dac26e9a2f4ba3d6d898ebf0d424	94415
392f6cb5-71f5-4a6a-98a2-c213e1a983f6	TARGET-OS_geneExpressionArray_Level3Data_PUBLIC_20220211.tar.gz	c48fae3c6d0fa38ff43038254818e9a7	7960721
266a59fa-ff8b-4e80-bd78-0ab44a00a86e	TARGET-OS_geneExpressionArray_Metadata_PUBLIC_20220211.tar.gz	a765b6e69a52c6004da13ce67934e3f2	51002
7406dcc2-12ef-4197-a636-dc4b4b487306	TARGET-OS_methylationArray_Level2Data_PUBLIC_20220211.tar.gz	4e8b6322b4c00e6222a98a0aab0f0a0b	273385644
8fbfefa2-60ad-4ace-aff3-2d2aa2c90448	TARGET-OS_methylationArray_Level3Data_PUBLIC_20220211.tar.gz	493898b4a1d38043ff130dcae58ae4b5	794833373
71bc3982-8670-47a1-af0b-a376f5130d37	TARGET-OS_methylationArray_Metadata_PUBLIC_20220211.tar.gz	dbf97d991f7913fcd287b891c8a35c5c	50413
6b80124b-a894-49fc-8818-21ae6b76b21e	TARGET-OS_miRNApcr_Level1Data_PUBLIC_20220211.tar.gz	dfb7bb1b54296ec15f118961f4fcd5ea	1211517
28506340-012a-4019-affb-303d900df5ca	TARGET-OS_miRNApcr_Level2Data_PUBLIC_20220211.tar.gz	2117af91d0da4d57f0a345e7c1cb3935	289952
5c53c4c4-01c3-40b2-973f-fd9c90f36696	TARGET-OS_miRNApcr_Metadata_PUBLIC_20220211.tar.gz	ba1a70c52ba1062f1969d336d4c4f784	62751
61168809-b645-49da-b37f-24f2e150862a	TARGET-OS_mRNAseq_Level3Data_PUBLIC_20220211.tar.gz	3f43043947e938c62844aff55b356ee1	709602455
17da974b-1718-4ca3-87ac-4bde7ff973ce	TARGET-OS_mRNAseq_Level4Data_PUBLIC_20220211.tar.gz	f38a129074c92ce4bb43711bee3c1031	3160907
fe56439d-5ab8-465a-98c8-dc293bac4268	TARGET-OS_mRNAseq_Metadata_PUBLIC_20220211.tar.gz	27360ba0c31d177b654e201f7cb6469c	13205
c8b98280-6622-49f3-96a3-6ae1de726e87	TARGET-OS_SampleMatrix_PUBLIC_20220211.tar.gz	ed32b1ce8647607b217010feddc40376	95450
2dfe328e-e17f-474f-866c-cb24c562b0d2	TARGET-OS_targetedCaptureSequencing_Design_PUBLIC_20220211.tar.gz	732220520a8c7d68c4facedceee5151f	5827353
ae82dd30-730a-4b22-83a2-badbe4b1c9eb	TARGET-OS_targetedCaptureSequencing_Metadata_PUBLIC_20220211.tar.gz	2defb25308a8024700fe2a21dea9cce6	31358
1e530dfb-e06c-4339-b613-e9d0843c6548	TARGET-OS_WGS_Level3Data_PUBLIC_20220211.tar.gz	ff0c8e697f21b9a743c477dddcc4362b	1334521
d8cc65f2-fa58-47b9-a3e7-d3c4a51b3654	TARGET-OS_WGS_Level4Data_PUBLIC_20220211.tar.gz	082acd8bad2a041a86136d0aacb248d3	29993085
10faf0f4-9cb3-4711-adbf-1cd88faecacf	TARGET-OS_WGS_Metadata_PUBLIC_20220211.tar.gz	5ba24dbe39679d1b81e06979c3e86f8d	57831
1c8a4e27-b7fa-42e4-8fdb-7750aa69cc40	TARGET-OS_WXS_Design_PUBLIC_20220211.tar.gz	b26cae348479889678bdd444b20e1b9d	6574420
067b2499-2dfb-4e12-b1b2-49d8e5f501f4	TARGET-OS_WXS_Level4Data_PUBLIC_20220211.tar.gz	3638cec78f16e6a3bb3b839133510249	3160909
0eb66275-6bc2-4957-bd90-3a31185dbdb3	TARGET-OS_WXS_Metadata_PUBLIC_20220211.tar.gz	c11244a26c859e6730b87fc466807157	125169
61a306c1-f40e-4043-8a86-49593a96c87b	TARGET-OS-BrazilCases_geneExpressionArray_Metadata_PUBLIC_20220211.tar.gz	a9e02fe9fa1f90c4df0b8d7d60f7cf2c	20612
c94d04e0-d176-4ebe-9db0-64bb7804fa7a	TARGET-OS-BrazilCases_methylationArray_Level2Data_PUBLIC_20220211.tar.gz	43b15c5cd5e2daaaf8ef42731a96cda8	134844596
4080deac-221c-4298-8a6e-8d2cee54283e	TARGET-OS-BrazilCases_methylationArray_Level3Data_PUBLIC_20220211.tar.gz	42708ddc9cdc876f101a1ff0d1d9ff70	105496660
